Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
07/08,Away,1,Chelsea,13,3,3,29,13,42
07/08,Away,2,Arsenal,10,6,3,37,20,36
07/08,Away,3,Manchester United,10,5,4,33,15,35
07/08,Away,4,Liverpool,9,7,3,24,15,34
07/08,Away,5,Everton,8,4,7,21,16,28
07/08,Away,6,Portsmouth,9,1,9,24,26,28
07/08,Away,7,Aston Villa,6,9,4,37,29,27
07/08,Away,8,Blackburn Rovers,7,6,6,24,29,27
07/08,Away,9,West Ham United,6,3,10,18,26,21
07/08,Away,10,Manchester City,4,6,9,17,33,18
07/08,Away,11,Tottenham Hotspur,3,8,8,20,27,17
07/08,Away,12,Fulham,3,7,9,16,29,16
07/08,Away,13,Middlesbrough,3,7,9,16,30,16
07/08,Away,14,Newcastle United,3,5,11,20,39,14
07/08,Away,15,Wigan Athletic,2,5,12,13,34,11
07/08,Away,16,Bolton Wanderers,2,5,12,13,36,11
07/08,Away,17,Reading,2,4,13,22,41,10
07/08,Away,18,Birmingham City,2,3,14,16,39,9
07/08,Away,19,Sunderland,2,3,14,13,38,9
07/08,Away,20,Derby County,0,3,16,8,46,3
