Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
21/22,Away,1,Manchester City,14,4,1,41,11,46
21/22,Away,2,Liverpool,13,4,2,45,17,43
21/22,Away,3,Chelsea,12,4,3,39,11,40
21/22,Away,4,Tottenham Hotspur,9,4,6,31,21,31
21/22,Away,5,Brighton & Hove Albion,7,8,4,23,21,29
21/22,Away,6,Arsenal,9,1,9,26,31,28
21/22,Away,7,Wolverhampton Wanderers,8,3,8,18,18,27
21/22,Away,8,West Ham United,7,3,9,27,25,24
21/22,Away,9,Manchester United,6,5,8,25,35,23
21/22,Away,10,Aston Villa,7,1,11,23,25,22
21/22,Away,11,Brentford,6,4,9,26,35,22
21/22,Away,12,Leeds United,5,5,9,23,41,20
21/22,Away,13,Crystal Palace,4,7,8,23,29,19
21/22,Away,14,Newcastle United,5,4,10,18,35,19
21/22,Away,15,Leicester City,4,6,9,28,36,18
21/22,Away,16,Watford,4,3,12,17,31,15
21/22,Away,17,Southampton,3,6,10,20,43,15
21/22,Away,18,Burnley,2,8,9,16,28,14
21/22,Away,19,Everton,2,4,13,16,41,10
21/22,Away,20,Norwich City,2,4,13,11,41,10
