Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
23/24,All,1,Manchester City,28,7,3,96,34,91
23/24,All,2,Arsenal,28,5,5,91,29,89
23/24,All,3,Liverpool,24,10,4,86,41,82
23/24,All,4,Aston Villa,20,8,10,76,61,68
23/24,All,5,Tottenham Hotspur,20,6,12,74,61,66
23/24,All,6,Chelsea,18,9,11,77,63,63
23/24,All,7,Newcastle United,18,6,14,85,62,60
23/24,All,8,Manchester United,18,6,14,57,58,60
23/24,All,9,West Ham United,14,10,14,60,74,52
23/24,All,10,Crystal Palace,13,10,15,57,58,49
23/24,All,11,Brighton & Hove Albion,12,12,14,55,62,48
23/24,All,12,Bournemouth,13,9,16,54,67,48
23/24,All,13,Fulham,13,8,17,55,61,47
23/24,All,14,Wolverhampton Wanderers,13,7,18,50,65,46
23/24,All,15,Everton,13,9,16,40,51,40
23/24,All,16,Brentford,10,9,19,56,65,39
23/24,All,17,Nottingham Forest,9,9,20,49,67,32
23/24,All,18,Luton Town,6,8,24,52,85,26
23/24,All,19,Burnley,5,9,24,41,78,24
23/24,All,20,Sheffield United,3,7,28,35,104,16
