Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
18/19,Away,1,Manchester City,14,2,3,38,11,44
18/19,Away,2,Liverpool,13,5,1,34,12,44
18/19,Away,3,Tottenham Hotspur,11,0,8,33,23,33
18/19,Away,4,Manchester United,9,3,7,32,29,30
18/19,Away,5,Chelsea,9,3,7,24,27,30
18/19,Away,6,Crystal Palace,9,2,8,32,30,29
18/19,Away,7,Leicester City,7,4,8,27,28,25
18/19,Away,8,Arsenal,7,4,8,31,35,25
18/19,Away,9,Watford,6,5,8,26,31,23
18/19,Away,10,Wolverhampton Wanderers,6,5,8,19,25,23
18/19,Away,11,West Ham United,6,3,10,20,28,21
18/19,Away,12,Everton,5,5,9,24,25,20
18/19,Away,13,Newcastle United,4,8,7,18,23,20
18/19,Away,14,Burnley,4,5,10,21,36,17
18/19,Away,15,Southampton,4,4,11,18,35,16
18/19,Away,16,Bournemouth,5,1,13,26,45,16
18/19,Away,17,Cardiff City,4,2,13,13,31,14
18/19,Away,18,Brighton & Hove Albion,3,4,12,16,32,13
18/19,Away,19,Huddersfield Town,1,4,14,12,45,7
18/19,Away,20,Fulham,1,2,16,12,45,5
