Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
00/01,Home,1,Arsenal,15,3,1,45,13,48
00/01,Home,2,Manchester United,15,2,2,49,12,47
00/01,Home,3,Liverpool,13,4,2,40,14,43
00/01,Home,4,Chelsea,13,3,3,44,20,42
00/01,Home,5,Tottenham Hotspur,11,6,2,31,16,39
00/01,Home,6,Ipswich Town,11,5,3,31,15,38
00/01,Home,7,Charlton Athletic,11,5,3,31,19,38
00/01,Home,8,Leeds United,11,3,5,36,21,36
00/01,Home,9,Southampton,11,2,6,27,22,35
00/01,Home,10,Newcastle United,10,4,5,26,17,34
00/01,Home,11,Sunderland,9,7,3,24,16,34
00/01,Home,12,Leicester City,10,4,5,28,23,34
00/01,Home,13,Aston Villa,8,8,3,27,20,32
00/01,Home,14,Derby County,8,7,4,23,24,31
00/01,Home,15,Everton,6,8,5,29,27,26
00/01,Home,16,West Ham United,6,6,7,24,20,24
00/01,Home,17,Middlesbrough,4,7,8,18,23,19
00/01,Home,18,Coventry City,4,7,8,14,23,19
00/01,Home,19,Bradford City,4,7,8,20,29,19
00/01,Home,20,Manchester City,4,3,12,20,31,15
