Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
14/15,All,1,Chelsea,26,9,3,73,32,87
14/15,All,2,Manchester City,24,7,7,83,38,79
14/15,All,3,Arsenal,22,9,7,71,36,75
14/15,All,4,Manchester United,20,10,8,62,37,70
14/15,All,5,Tottenham Hotspur,19,7,12,58,53,64
14/15,All,6,Liverpool,18,8,12,52,48,62
14/15,All,7,Southampton,18,6,14,54,33,60
14/15,All,8,Swansea City,16,8,14,46,49,56
14/15,All,9,Stoke City,15,9,14,48,45,54
14/15,All,10,Crystal Palace,13,9,16,47,51,48
14/15,All,11,Everton,12,11,15,48,50,47
14/15,All,12,West Ham United,12,11,15,44,47,47
14/15,All,13,West Bromwich Albion,11,11,16,38,51,44
14/15,All,14,Leicester City,11,8,19,46,55,41
14/15,All,15,Newcastle United,10,9,19,40,63,39
14/15,All,16,Sunderland,7,17,14,31,53,38
14/15,All,17,Aston Villa,10,8,20,31,57,38
14/15,All,18,Hull City,8,11,19,33,51,35
14/15,All,19,Burnley,7,12,19,28,53,33
14/15,All,20,Queens Park Rangers,8,6,24,42,73,30
