Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
03/04,Away,1,Arsenal,11,8,0,33,12,41
03/04,Away,2,Chelsea,12,3,4,33,17,39
03/04,Away,3,Manchester United,11,2,6,27,20,35
03/04,Away,4,Bolton Wanderers,8,3,8,24,35,27
03/04,Away,5,Liverpool,6,8,5,26,22,26
03/04,Away,6,Charlton Athletic,7,5,7,22,22,26
03/04,Away,7,Blackburn Rovers,7,4,8,26,28,25
03/04,Away,8,Aston Villa,6,5,8,24,25,23
03/04,Away,9,Fulham,5,6,8,23,25,21
03/04,Away,10,Birmingham City,4,9,6,17,24,21
03/04,Away,11,Middlesbrough,5,5,9,19,29,20
03/04,Away,12,Newcastle United,2,12,5,19,26,18
03/04,Away,13,Manchester City,4,5,10,24,30,17
03/04,Away,14,Southampton,4,5,10,20,28,17
03/04,Away,15,Leicester City,3,5,11,29,37,14
03/04,Away,16,Tottenham Hotspur,4,2,13,14,30,14
03/04,Away,17,Portsmouth,2,5,12,12,35,11
03/04,Away,18,Leeds United,3,2,14,15,48,11
03/04,Away,19,Everton,1,7,11,18,37,10
03/04,Away,20,Wolverhampton Wanderers,0,7,12,15,42,7
