Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
19/20,Away,1,Liverpool,14,2,3,33,17,44
19/20,Away,2,Manchester City,11,1,7,45,22,34
19/20,Away,3,Southampton,9,4,6,30,25,31
19/20,Away,4,Chelsea,9,3,7,39,38,30
19/20,Away,5,Manchester United,8,5,6,26,19,29
19/20,Away,6,Wolverhampton Wanderers,7,7,5,24,21,28
19/20,Away,7,Burnley,7,5,7,19,27,26
19/20,Away,8,Leicester City,7,4,8,32,24,25
19/20,Away,9,Sheffield United,4,9,6,15,24,21
19/20,Away,10,Arsenal,4,8,7,20,24,20
19/20,Away,11,Tottenham Hotspur,4,8,7,25,30,20
19/20,Away,12,Crystal Palace,5,5,9,16,30,20
19/20,Away,13,Brighton & Hove Albion,4,7,8,19,27,19
19/20,Away,14,Everton,5,3,11,20,35,18
19/20,Away,15,Newcastle United,5,3,11,18,37,18
19/20,Away,16,West Ham United,4,5,10,19,29,17
19/20,Away,17,Bournemouth,4,1,14,18,35,13
19/20,Away,18,Aston Villa,2,5,12,19,37,11
19/20,Away,19,Watford,2,4,13,14,37,10
19/20,Away,20,Norwich City,1,3,15,7,38,6
