Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
13/14,All,1,Manchester City,27,5,6,102,37,86
13/14,All,2,Liverpool,26,6,6,101,50,84
13/14,All,3,Chelsea,25,7,6,71,27,82
13/14,All,4,Arsenal,24,7,7,68,41,79
13/14,All,5,Everton,21,9,8,61,39,72
13/14,All,6,Tottenham Hotspur,21,6,11,55,51,69
13/14,All,7,Manchester United,19,7,12,64,43,64
13/14,All,8,Southampton,15,11,12,54,46,56
13/14,All,9,Stoke City,13,11,14,45,52,50
13/14,All,10,Newcastle United,15,4,19,43,59,49
13/14,All,11,Crystal Palace,13,6,19,33,48,45
13/14,All,12,Swansea City,11,9,18,54,54,42
13/14,All,13,West Ham United,11,7,20,40,51,40
13/14,All,14,Sunderland,10,8,20,41,60,38
13/14,All,15,Aston Villa,10,8,20,39,61,38
13/14,All,16,Hull City,10,7,21,38,53,37
13/14,All,17,West Bromwich Albion,7,15,16,43,59,36
13/14,All,18,Norwich City,8,9,21,28,62,33
13/14,All,19,Fulham,9,5,24,40,85,32
13/14,All,20,Cardiff City,7,9,22,32,74,30
