Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
16/17,Home,1,Tottenham Hotspur,17,2,0,47,9,53
16/17,Home,2,Chelsea,17,0,2,55,17,51
16/17,Home,3,Arsenal,14,3,2,39,16,45
16/17,Home,4,Everton,13,4,2,42,16,43
16/17,Home,5,Liverpool,12,5,2,45,18,41
16/17,Home,6,Manchester City,11,7,1,37,17,40
16/17,Home,7,Manchester United,8,10,1,26,12,34
16/17,Home,8,Leicester City,10,4,5,31,25,34
16/17,Home,9,Burnley,10,3,6,26,20,33
16/17,Home,10,Bournemouth,9,4,6,35,29,31
16/17,Home,11,West Bromwich Albion,9,2,8,27,22,29
16/17,Home,12,Watford,8,4,7,25,29,28
16/17,Home,13,Hull City,8,4,7,28,35,28
16/17,Home,14,Stoke City,7,6,6,24,24,27
16/17,Home,15,Swansea City,8,3,8,27,34,27
16/17,Home,16,West Ham United,7,4,8,19,31,25
16/17,Home,17,Southampton,6,6,7,17,21,24
16/17,Home,18,Crystal Palace,6,2,11,24,25,20
16/17,Home,19,Middlesbrough,4,6,9,17,23,18
16/17,Home,20,Sunderland,3,5,11,16,34,14
