Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
09/10,Home,1,Chelsea,17,1,1,68,14,52
09/10,Home,2,Manchester United,16,1,2,52,12,49
09/10,Home,3,Arsenal,15,2,2,48,15,47
09/10,Home,4,Tottenham Hotspur,14,2,3,40,12,44
09/10,Home,5,Liverpool,13,3,3,43,15,42
09/10,Home,6,Manchester City,12,4,3,41,20,40
09/10,Home,7,Everton,11,6,2,35,21,39
09/10,Home,8,Fulham,11,3,5,27,15,36
09/10,Home,9,Blackburn Rovers,10,6,3,28,18,36
09/10,Home,10,Sunderland,9,7,3,32,19,34
09/10,Home,11,Birmingham City,8,9,2,19,13,33
09/10,Home,12,Aston Villa,8,8,3,29,16,32
09/10,Home,13,Stoke City,7,6,6,24,21,27
09/10,Home,14,West Ham United,7,5,7,30,29,26
09/10,Home,15,Burnley,7,5,7,25,30,26
09/10,Home,16,Wigan Athletic,6,7,6,19,24,25
09/10,Home,17,Bolton Wanderers,6,6,7,26,31,24
09/10,Home,18,Hull City,6,6,7,22,29,24
09/10,Home,19,Wolverhampton Wanderers,5,6,8,13,22,21
09/10,Home,20,Portsmouth,5,3,11,24,32,18
