Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
18/19,Home,1,Manchester City,18,0,1,57,12,54
18/19,Home,2,Liverpool,17,2,0,55,10,53
18/19,Home,3,Arsenal,14,3,2,42,16,45
18/19,Home,4,Chelsea,12,6,1,39,12,42
18/19,Home,5,Tottenham Hotspur,12,2,5,34,16,38
18/19,Home,6,Manchester United,10,6,3,33,25,36
18/19,Home,7,Everton,10,4,5,30,21,34
18/19,Home,8,Wolverhampton Wanderers,10,4,5,28,21,34
18/19,Home,9,West Ham United,9,4,6,32,27,31
18/19,Home,10,Bournemouth,8,5,6,30,25,29
18/19,Home,11,Leicester City,8,3,8,24,20,27
18/19,Home,12,Watford,8,3,8,26,28,27
18/19,Home,13,Newcastle United,8,1,10,24,25,25
18/19,Home,14,Southampton,5,8,6,27,30,23
18/19,Home,15,Burnley,7,2,10,24,32,23
18/19,Home,16,Brighton & Hove Albion,6,5,8,19,28,23
18/19,Home,17,Fulham,6,3,10,22,36,21
18/19,Home,18,Crystal Palace,5,5,9,19,23,20
18/19,Home,19,Cardiff City,6,2,11,21,38,20
18/19,Home,20,Huddersfield Town,2,3,14,10,31,9
