Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
12/13,Away,1,Manchester United,12,5,2,41,24,41
12/13,Away,2,Arsenal,10,5,4,25,14,35
12/13,Away,3,Chelsea,10,4,5,34,23,34
12/13,Away,4,Tottenham Hotspur,10,4,5,37,28,34
12/13,Away,5,Manchester City,9,6,4,25,19,33
12/13,Away,6,Liverpool,7,7,5,38,27,28
12/13,Away,7,Everton,4,9,6,22,23,21
12/13,Away,8,Aston Villa,5,6,8,24,41,21
12/13,Away,9,Swansea City,5,5,9,19,25,20
12/13,Away,10,Fulham,4,7,8,22,30,19
12/13,Away,11,West Bromwich Albion,5,3,11,21,32,18
12/13,Away,12,Wigan Athletic,5,3,11,21,34,18
12/13,Away,13,Southampton,3,7,9,23,36,16
12/13,Away,14,Sunderland,4,4,11,21,35,16
12/13,Away,15,Stoke City,2,8,9,13,23,14
12/13,Away,16,Newcastle United,2,7,10,21,37,13
12/13,Away,17,West Ham United,3,4,12,11,31,13
12/13,Away,18,Norwich City,2,7,10,16,38,13
12/13,Away,19,Queens Park Rangers,2,5,12,17,32,11
12/13,Away,20,Reading,2,2,15,20,40,8
