Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
11/12,Away,1,Manchester United,13,3,3,37,14,42
11/12,Away,2,Manchester City,10,4,5,38,17,34
11/12,Away,3,Arsenal,9,3,7,35,32,30
11/12,Away,4,Tottenham Hotspur,7,6,6,27,24,27
11/12,Away,5,Newcastle United,8,3,8,27,34,27
11/12,Away,6,West Bromwich Albion,7,5,7,24,30,26
11/12,Away,7,Chelsea,6,7,6,24,22,25
11/12,Away,8,Liverpool,8,1,10,23,24,25
11/12,Away,9,Everton,5,8,6,22,25,23
11/12,Away,10,Wigan Athletic,6,3,10,20,35,21
11/12,Away,11,Norwich City,5,5,9,24,36,20
11/12,Away,12,Bolton Wanderers,6,2,11,23,38,20
11/12,Away,13,Aston Villa,3,10,6,17,28,19
11/12,Away,14,Sunderland,4,5,10,19,29,17
11/12,Away,15,Fulham,4,5,10,12,25,17
11/12,Away,16,Swansea City,4,4,11,17,33,16
11/12,Away,17,Stoke City,4,4,11,11,33,16
11/12,Away,18,Wolverhampton Wanderers,2,7,10,21,39,13
11/12,Away,19,Blackburn Rovers,2,6,11,22,45,12
11/12,Away,20,Queens Park Rangers,3,2,14,19,41,11
