Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
03/04,Home,1,Arsenal,15,4,0,40,14,49
03/04,Home,2,Manchester United,12,4,3,37,15,40
03/04,Home,3,Chelsea,12,4,3,34,13,40
03/04,Home,4,Newcastle United,11,5,3,33,14,38
03/04,Home,5,Portsmouth,10,4,5,35,19,34
03/04,Home,6,Liverpool,10,4,5,29,15,34
03/04,Home,7,Aston Villa,9,6,4,24,19,33
03/04,Home,8,Fulham,9,4,6,29,21,31
03/04,Home,9,Tottenham Hotspur,9,4,6,33,27,31
03/04,Home,10,Southampton,8,6,5,24,17,30
03/04,Home,11,Everton,8,5,6,27,20,29
03/04,Home,12,Birmingham City,8,5,6,26,24,29
03/04,Home,13,Middlesbrough,8,4,7,25,23,28
03/04,Home,14,Charlton Athletic,7,6,6,29,29,27
03/04,Home,15,Bolton Wanderers,6,8,5,24,21,26
03/04,Home,16,Wolverhampton Wanderers,7,5,7,23,35,26
03/04,Home,17,Manchester City,5,9,5,31,24,24
03/04,Home,18,Leeds United,5,7,7,25,31,22
03/04,Home,19,Blackburn Rovers,5,4,10,25,31,19
03/04,Home,20,Leicester City,3,10,6,19,28,19
