Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
95/96,Home,1,Newcastle United,17,1,1,38,9,52
95/96,Home,2,Manchester United,15,4,0,36,9,49
95/96,Home,3,Liverpool,14,4,1,46,13,46
95/96,Home,4,Blackburn Rovers,14,2,3,44,19,44
95/96,Home,5,Nottingham Forest,11,6,2,29,17,39
95/96,Home,6,Aston Villa,11,5,3,32,15,38
95/96,Home,7,Arsenal,10,7,2,30,16,37
95/96,Home,8,Everton,10,5,4,35,19,35
95/96,Home,9,Tottenham Hotspur,9,5,5,26,19,32
95/96,Home,10,West Ham United,9,5,5,25,21,32
95/96,Home,11,Chelsea,7,7,5,30,22,28
95/96,Home,12,Southampton,7,7,5,21,18,28
95/96,Home,13,Manchester City,7,7,5,21,19,28
95/96,Home,14,Middlesbrough,8,3,8,27,27,27
95/96,Home,15,Leeds United,8,3,8,21,21,27
95/96,Home,16,Sheffield Wednesday,7,5,7,30,31,26
95/96,Home,17,Coventry City,6,7,6,21,23,25
95/96,Home,18,Queens Park Rangers,6,5,8,25,26,23
95/96,Home,19,Wimbledon,5,6,8,27,33,21
95/96,Home,20,Bolton Wanderers,5,4,10,16,31,19
