Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
01/02,Home,1,Liverpool,12,5,2,33,14,41
01/02,Home,2,West Ham United,12,4,3,32,14,40
01/02,Home,3,Arsenal,12,4,3,42,25,40
01/02,Home,4,Newcastle United,12,3,4,40,23,39
01/02,Home,5,Chelsea,11,4,4,43,21,37
01/02,Home,6,Manchester United,11,2,6,40,17,35
01/02,Home,7,Tottenham Hotspur,10,4,5,32,24,34
01/02,Home,8,Leeds United,9,6,4,31,21,33
01/02,Home,9,Aston Villa,8,7,4,22,17,31
01/02,Home,10,Blackburn Rovers,8,6,5,33,20,30
01/02,Home,11,Fulham,7,7,5,21,16,28
01/02,Home,12,Everton,8,4,7,26,23,28
01/02,Home,13,Sunderland,7,7,5,18,16,28
01/02,Home,14,Southampton,7,5,7,23,22,26
01/02,Home,15,Middlesbrough,7,5,7,23,26,26
01/02,Home,16,Ipswich Town,6,4,9,20,24,22
01/02,Home,17,Bolton Wanderers,5,7,7,20,31,22
01/02,Home,18,Charlton Athletic,5,6,8,23,30,21
01/02,Home,19,Derby County,5,4,10,20,26,19
01/02,Home,20,Leicester City,3,7,9,15,34,16
