Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
98/99,Home,1,Arsenal,14,5,0,34,5,47
98/99,Home,2,Manchester United,14,4,1,45,18,46
98/99,Home,3,Chelsea,12,6,1,29,13,42
98/99,Home,4,Leeds United,12,5,2,32,9,41
98/99,Home,5,West Ham United,11,3,5,32,26,36
98/99,Home,6,Liverpool,10,5,4,44,24,35
98/99,Home,7,Aston Villa,10,3,6,33,28,33
98/99,Home,8,Derby County,8,7,4,22,19,31
98/99,Home,9,Southampton,9,4,6,29,26,31
98/99,Home,10,Middlesbrough,7,9,3,25,18,30
98/99,Home,11,Coventry City,8,6,5,26,21,30
98/99,Home,12,Tottenham Hotspur,7,7,5,28,26,28
98/99,Home,13,Wimbledon,7,7,5,22,21,28
98/99,Home,14,Newcastle United,7,6,6,26,25,27
98/99,Home,15,Leicester City,7,6,6,25,25,27
98/99,Home,16,Everton,6,8,5,22,12,26
98/99,Home,17,Sheffield Wednesday,7,5,7,20,15,26
98/99,Home,18,Blackburn Rovers,6,5,8,21,24,23
98/99,Home,19,Charlton Athletic,4,7,8,20,20,19
98/99,Home,20,Nottingham Forest,3,7,9,18,31,16
