Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
21/22,Home,1,Liverpool,15,4,0,49,9,49
21/22,Home,2,Manchester City,15,2,2,58,15,47
21/22,Home,3,Arsenal,13,2,4,35,17,41
21/22,Home,4,Tottenham Hotspur,13,1,5,38,19,40
21/22,Home,5,Manchester United,10,5,4,32,22,35
21/22,Home,6,Chelsea,9,7,3,37,22,34
21/22,Home,7,Leicester City,10,4,5,34,23,34
21/22,Home,8,West Ham United,9,5,5,33,26,32
21/22,Home,9,Newcastle United,8,6,5,26,27,30
21/22,Home,10,Crystal Palace,7,8,4,27,17,29
21/22,Home,11,Everton,9,2,8,27,25,29
21/22,Home,12,Southampton,6,7,6,23,24,25
21/22,Home,13,Brentford,7,3,9,22,21,24
21/22,Home,14,Wolverhampton Wanderers,7,3,9,20,25,24
21/22,Home,15,Aston Villa,6,5,8,29,29,23
21/22,Home,16,Brighton & Hove Albion,5,7,7,19,23,22
21/22,Home,17,Burnley,5,6,8,18,25,21
21/22,Home,18,Leeds United,4,6,9,19,38,18
21/22,Home,19,Norwich City,3,3,13,12,43,12
21/22,Home,20,Watford,2,2,15,17,46,8
