Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
11/12,All,1,Manchester City,28,5,5,93,29,89
11/12,All,2,Manchester United,28,5,5,89,33,89
11/12,All,3,Arsenal,21,7,10,74,49,70
11/12,All,4,Tottenham Hotspur,20,9,9,66,41,69
11/12,All,5,Newcastle United,19,8,11,56,51,65
11/12,All,6,Chelsea,18,10,10,65,46,64
11/12,All,7,Everton,15,11,12,50,40,56
11/12,All,8,Liverpool,14,10,14,47,40,52
11/12,All,9,Fulham,14,10,14,48,51,52
11/12,All,10,West Bromwich Albion,13,8,17,45,52,47
11/12,All,11,Swansea City,12,11,15,44,51,47
11/12,All,12,Norwich City,12,11,15,52,66,47
11/12,All,13,Sunderland,11,12,15,45,46,45
11/12,All,14,Stoke City,11,12,15,36,53,45
11/12,All,15,Wigan Athletic,11,10,17,42,62,43
11/12,All,16,Aston Villa,7,17,14,37,53,38
11/12,All,17,Queens Park Rangers,10,7,21,43,66,37
11/12,All,18,Bolton Wanderers,10,6,22,46,77,36
11/12,All,19,Blackburn Rovers,8,7,23,48,78,31
11/12,All,20,Wolverhampton Wanderers,5,10,23,40,82,25
