Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
96/97,Away,1,Manchester United,9,7,3,38,27,34
96/97,Away,2,Arsenal,9,6,4,26,14,33
96/97,Away,3,Liverpool,9,5,5,24,18,32
96/97,Away,4,Newcastle United,6,8,5,19,20,26
96/97,Away,5,Chelsea,7,3,9,25,33,24
96/97,Away,6,Aston Villa,6,5,8,20,21,23
96/97,Away,7,Wimbledon,6,5,8,21,25,23
96/97,Away,8,Sheffield Wednesday,6,5,8,25,35,23
96/97,Away,9,Leicester City,5,6,8,24,28,21
96/97,Away,10,Coventry City,5,6,8,19,31,21
96/97,Away,11,Tottenham Hotspur,5,3,11,25,34,18
96/97,Away,12,Leeds United,4,6,9,13,25,18
96/97,Away,13,Everton,3,8,8,20,35,17
96/97,Away,14,Southampton,4,4,11,18,32,16
96/97,Away,15,Derby County,3,7,9,20,36,16
96/97,Away,16,Nottingham Forest,3,7,9,16,32,16
96/97,Away,17,West Ham United,3,6,10,12,23,15
96/97,Away,18,Blackburn Rovers,1,11,7,14,20,14
96/97,Away,19,Middlesbrough,2,7,10,17,35,13
96/97,Away,20,Sunderland,3,4,12,15,35,13
