Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
23/24,Home,1,Liverpool,15,3,1,49,17,48
23/24,Home,2,Manchester City,14,5,0,51,16,47
23/24,Home,3,Arsenal,15,2,2,48,16,47
23/24,Home,4,Newcastle United,12,4,3,49,22,40
23/24,Home,5,Aston Villa,12,4,3,48,28,40
23/24,Home,6,Tottenham Hotspur,13,0,6,38,27,39
23/24,Home,7,Chelsea,11,4,4,44,26,37
23/24,Home,8,Manchester United,10,3,6,31,28,33
23/24,Home,9,Brighton & Hove Albion,8,6,5,30,27,30
23/24,Home,10,Fulham,9,2,8,31,24,29
23/24,Home,11,West Ham United,7,8,4,31,28,29
23/24,Home,12,Crystal Palace,8,4,7,37,26,28
23/24,Home,13,Everton,8,4,7,22,18,28
23/24,Home,14,Bournemouth,7,6,6,27,28,27
23/24,Home,15,Wolverhampton Wanderers,8,3,8,26,30,27
23/24,Home,16,Brentford,5,7,7,29,34,22
23/24,Home,17,Nottingham Forest,5,5,9,27,30,20
23/24,Home,18,Luton Town,4,4,11,28,37,16
23/24,Home,19,Burnley,2,4,13,19,43,10
23/24,Home,20,Sheffield United,2,4,13,19,57,10
