Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
94/95,Home,1,Blackburn Rovers,17,2,2,54,21,53
94/95,Home,2,Manchester United,16,4,1,42,4,52
94/95,Home,3,Newcastle United,14,6,1,46,20,48
94/95,Home,4,Liverpool,13,5,3,38,13,44
94/95,Home,5,Leeds United,13,5,3,35,15,44
94/95,Home,6,Nottingham Forest,12,6,3,36,18,42
94/95,Home,7,Queens Park Rangers,11,3,7,36,26,36
94/95,Home,8,Tottenham Hotspur,10,5,6,32,25,35
94/95,Home,9,West Ham United,9,6,6,28,19,33
94/95,Home,10,Everton,8,9,4,31,23,33
94/95,Home,11,Southampton,8,9,4,33,27,33
94/95,Home,12,Norwich City,8,8,5,27,21,32
94/95,Home,13,Wimbledon,9,5,7,26,26,32
94/95,Home,14,Manchester City,8,7,6,37,28,31
94/95,Home,15,Chelsea,7,7,7,25,22,28
94/95,Home,16,Sheffield Wednesday,7,7,7,26,26,28
94/95,Home,17,Coventry City,7,7,7,23,25,28
94/95,Home,18,Arsenal,6,9,6,27,21,27
94/95,Home,19,Aston Villa,6,9,6,27,24,27
94/95,Home,20,Crystal Palace,6,6,9,16,23,24
94/95,Home,21,Leicester City,5,6,10,28,37,21
94/95,Home,22,Ipswich Town,5,3,13,24,34,18
