Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
09/10,Away,1,Manchester United,11,3,5,34,16,36
09/10,Away,2,Chelsea,10,4,5,35,18,34
09/10,Away,3,Aston Villa,9,5,5,23,23,32
09/10,Away,4,Arsenal,8,4,7,35,26,28
09/10,Away,5,Manchester City,6,9,4,32,25,27
09/10,Away,6,Tottenham Hotspur,7,5,7,27,29,26
09/10,Away,7,Everton,5,7,7,25,28,22
09/10,Away,8,Liverpool,5,6,8,18,20,21
09/10,Away,9,Stoke City,4,8,7,10,27,20
09/10,Away,10,Birmingham City,5,2,12,19,34,17
09/10,Away,11,Wolverhampton Wanderers,4,5,10,19,34,17
09/10,Away,12,Bolton Wanderers,4,3,12,16,36,15
09/10,Away,13,Blackburn Rovers,3,5,11,13,37,14
09/10,Away,14,Wigan Athletic,3,2,14,18,55,11
09/10,Away,15,Fulham,1,7,11,12,31,10
09/10,Away,16,Sunderland,2,4,13,16,37,10
09/10,Away,17,Portsmouth,2,4,13,10,34,10
09/10,Away,18,West Ham United,1,6,12,17,37,9
09/10,Away,19,Hull City,0,6,13,12,46,6
09/10,Away,20,Burnley,1,1,17,17,52,4
