Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
17/18,Away,1,Manchester City,16,2,1,45,13,50
17/18,Away,2,Tottenham Hotspur,10,4,5,34,20,34
17/18,Away,3,Manchester United,10,4,5,30,19,34
17/18,Away,4,Chelsea,10,3,6,32,22,33
17/18,Away,5,Liverpool,9,5,5,39,28,32
17/18,Away,6,Burnley,7,7,5,20,22,28
17/18,Away,7,Leicester City,5,5,9,31,38,20
17/18,Away,8,Crystal Palace,4,6,9,16,28,18
17/18,Away,9,Bournemouth,4,6,9,19,31,18
17/18,Away,10,Southampton,3,8,8,17,30,17
17/18,Away,11,Arsenal,4,4,11,20,31,16
17/18,Away,12,Newcastle United,4,4,11,18,30,16
17/18,Away,13,West Ham United,3,6,10,24,42,15
17/18,Away,14,Everton,3,6,10,16,36,15
17/18,Away,15,Watford,4,2,13,17,33,14
17/18,Away,16,Huddersfield Town,3,5,11,12,33,14
17/18,Away,17,West Bromwich Albion,3,4,12,10,27,13
17/18,Away,18,Stoke City,2,7,10,15,38,13
17/18,Away,19,Swansea City,2,6,11,11,32,12
17/18,Away,20,Brighton & Hove Albion,2,5,12,10,29,11
