Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
97/98,Home,1,Arsenal,15,2,2,43,10,47
97/98,Home,2,Manchester United,13,4,2,42,9,43
97/98,Home,3,West Ham United,13,4,2,40,18,43
97/98,Home,4,Liverpool,13,2,4,42,16,41
97/98,Home,5,Chelsea,13,2,4,37,14,41
97/98,Home,6,Derby County,12,3,4,33,18,39
97/98,Home,7,Blackburn Rovers,11,4,4,40,26,37
97/98,Home,8,Coventry City,8,9,2,26,17,33
97/98,Home,9,Leeds United,9,5,5,31,21,32
97/98,Home,10,Sheffield Wednesday,9,5,5,30,26,32
97/98,Home,11,Southampton,10,1,8,28,23,31
97/98,Home,12,Aston Villa,9,3,7,26,24,30
97/98,Home,13,Bolton Wanderers,7,8,4,25,22,29
97/98,Home,14,Newcastle United,8,5,6,22,20,29
97/98,Home,15,Tottenham Hotspur,7,8,4,23,22,29
97/98,Home,16,Leicester City,6,10,3,21,15,28
97/98,Home,17,Everton,7,5,7,25,27,26
97/98,Home,18,Barnsley,7,4,8,25,35,25
97/98,Home,19,Wimbledon,5,6,8,18,25,21
97/98,Home,20,Crystal Palace,2,5,12,15,39,11
