Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
04/05,All,1,Chelsea,29,8,1,72,15,95
04/05,All,2,Arsenal,25,8,5,87,36,83
04/05,All,3,Manchester United,22,11,5,58,26,77
04/05,All,4,Everton,18,7,13,45,46,61
04/05,All,5,Liverpool,17,7,14,52,41,58
04/05,All,6,Bolton Wanderers,16,10,12,49,44,58
04/05,All,7,Middlesbrough,14,13,11,53,46,55
04/05,All,8,Manchester City,13,13,12,47,39,52
04/05,All,9,Tottenham Hotspur,14,10,14,47,41,52
04/05,All,10,Aston Villa,12,11,15,45,52,47
04/05,All,11,Charlton Athletic,12,10,16,42,58,46
04/05,All,12,Birmingham City,11,12,15,40,46,45
04/05,All,13,Fulham,12,8,18,52,60,44
04/05,All,14,Newcastle United,10,14,14,47,57,44
04/05,All,15,Blackburn Rovers,9,15,14,32,43,42
04/05,All,16,Portsmouth,10,9,19,43,59,39
04/05,All,17,West Bromwich Albion,6,16,16,36,61,34
04/05,All,18,Crystal Palace,7,12,19,41,62,33
04/05,All,19,Norwich City,7,12,19,42,77,33
04/05,All,20,Southampton,6,14,18,45,66,32
