Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
05/06,Away,1,Manchester United,12,3,4,35,26,39
05/06,Away,2,Chelsea,11,3,5,25,13,36
05/06,Away,3,Liverpool,10,4,5,25,17,34
05/06,Away,4,Wigan Athletic,8,3,8,21,26,27
05/06,Away,5,West Ham United,7,4,8,22,30,25
05/06,Away,6,Tottenham Hotspur,6,6,7,22,22,24
05/06,Away,7,Arsenal,6,4,9,20,18,22
05/06,Away,8,Everton,6,4,9,12,27,22
05/06,Away,9,Blackburn Rovers,6,3,10,20,25,21
05/06,Away,10,Newcastle United,6,2,11,19,27,20
05/06,Away,11,Middlesbrough,5,4,10,20,28,19
05/06,Away,12,Charlton Athletic,5,4,10,19,34,19
05/06,Away,13,Bolton Wanderers,4,6,9,20,28,18
05/06,Away,14,Aston Villa,4,6,9,22,35,18
05/06,Away,15,Portsmouth,5,1,13,20,38,16
05/06,Away,16,Manchester City,4,2,13,17,28,14
05/06,Away,17,Birmingham City,2,5,12,9,30,11
05/06,Away,18,West Bromwich Albion,1,7,11,10,34,10
05/06,Away,19,Sunderland,2,2,15,14,32,8
05/06,Away,20,Fulham,1,4,14,17,37,7
