Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
01/02,Away,1,Arsenal,14,5,0,37,11,47
01/02,Away,2,Manchester United,13,3,3,47,28,42
01/02,Away,3,Liverpool,12,3,4,34,16,39
01/02,Away,4,Leeds United,9,6,4,22,16,33
01/02,Away,5,Newcastle United,9,5,5,34,29,32
01/02,Away,6,Chelsea,6,9,4,23,17,27
01/02,Away,7,Charlton Athletic,5,8,6,15,19,23
01/02,Away,8,Aston Villa,4,7,8,24,30,19
01/02,Away,9,Middlesbrough,5,4,10,12,21,19
01/02,Away,10,Southampton,5,4,10,23,32,19
01/02,Away,11,Bolton Wanderers,4,6,9,24,31,18
01/02,Away,12,Blackburn Rovers,4,4,11,22,31,16
01/02,Away,13,Tottenham Hotspur,4,4,11,17,29,16
01/02,Away,14,Fulham,3,7,9,15,28,16
01/02,Away,15,Everton,3,6,10,19,34,15
01/02,Away,16,Ipswich Town,3,5,11,21,40,14
01/02,Away,17,West Ham United,3,4,12,16,43,13
01/02,Away,18,Leicester City,2,6,11,15,30,12
01/02,Away,19,Sunderland,3,3,13,11,35,12
01/02,Away,20,Derby County,3,2,14,13,37,11
