Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
02/03,All,1,Manchester United,25,8,5,74,34,83
02/03,All,2,Arsenal,23,9,6,85,42,78
02/03,All,3,Newcastle United,21,6,11,63,48,69
02/03,All,4,Chelsea,19,10,9,68,38,67
02/03,All,5,Liverpool,18,10,10,61,41,64
02/03,All,6,Blackburn Rovers,16,12,10,52,43,60
02/03,All,7,Everton,17,8,13,48,49,59
02/03,All,8,Southampton,13,13,12,43,46,52
02/03,All,9,Manchester City,15,6,17,47,54,51
02/03,All,10,Tottenham Hotspur,14,8,16,51,62,50
02/03,All,11,Middlesbrough,13,10,15,48,44,49
02/03,All,12,Charlton Athletic,14,7,17,45,56,49
02/03,All,13,Birmingham City,13,9,16,41,49,48
02/03,All,14,Fulham,13,9,16,41,50,48
02/03,All,15,Leeds United,14,5,19,58,57,47
02/03,All,16,Aston Villa,12,9,17,42,47,45
02/03,All,17,Bolton Wanderers,10,14,14,41,51,44
02/03,All,18,West Ham United,10,12,16,42,59,42
02/03,All,19,West Bromwich Albion,6,8,24,29,65,26
02/03,All,20,Sunderland,4,7,27,21,65,19
