Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
02/03,Home,1,Manchester United,16,2,1,42,12,50
02/03,Home,2,Arsenal,15,2,2,47,20,47
02/03,Home,3,Newcastle United,15,2,2,36,17,47
02/03,Home,4,Chelsea,12,5,2,41,15,41
02/03,Home,5,Everton,11,5,3,28,19,38
02/03,Home,6,Middlesbrough,10,7,2,36,21,37
02/03,Home,7,Fulham,11,3,5,26,18,36
02/03,Home,8,Liverpool,9,8,2,30,16,35
02/03,Home,9,Aston Villa,11,2,6,25,14,35
02/03,Home,10,Southampton,9,8,2,25,16,35
02/03,Home,11,Blackburn Rovers,9,7,3,24,15,34
02/03,Home,12,Tottenham Hotspur,9,4,6,30,29,31
02/03,Home,13,Bolton Wanderers,7,8,4,27,24,29
02/03,Home,14,Manchester City,9,2,8,28,26,29
02/03,Home,15,Birmingham City,8,5,6,25,23,29
02/03,Home,16,Charlton Athletic,8,3,8,26,30,27
02/03,Home,17,Leeds United,7,3,9,25,26,24
02/03,Home,18,West Ham United,5,7,7,21,24,22
02/03,Home,19,West Bromwich Albion,3,5,11,17,34,14
02/03,Home,20,Sunderland,3,2,14,11,31,11
