Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
12/13,All,1,Manchester United,28,5,5,86,43,89
12/13,All,2,Manchester City,23,9,6,66,34,78
12/13,All,3,Chelsea,22,9,7,75,39,75
12/13,All,4,Arsenal,21,10,7,72,37,73
12/13,All,5,Tottenham Hotspur,21,9,8,66,46,72
12/13,All,6,Everton,16,15,7,55,40,63
12/13,All,7,Liverpool,16,13,9,71,43,61
12/13,All,8,West Bromwich Albion,14,7,17,53,57,49
12/13,All,9,Swansea City,11,13,14,47,51,46
12/13,All,10,West Ham United,12,10,16,45,53,46
12/13,All,11,Norwich City,10,14,14,41,58,44
12/13,All,12,Fulham,11,10,17,50,60,43
12/13,All,13,Stoke City,9,15,14,34,45,42
12/13,All,14,Southampton,9,14,15,49,60,41
12/13,All,15,Aston Villa,10,11,17,47,69,41
12/13,All,16,Newcastle United,11,8,19,45,68,41
12/13,All,17,Sunderland,9,12,17,41,54,39
12/13,All,18,Wigan Athletic,9,9,20,47,73,36
12/13,All,19,Reading,6,10,22,43,73,28
12/13,All,20,Queens Park Rangers,4,13,21,30,60,25
