Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
15/16,All,1,Leicester City,23,12,3,68,36,81
15/16,All,2,Arsenal,20,11,7,65,36,71
15/16,All,3,Tottenham Hotspur,19,13,6,69,35,70
15/16,All,4,Manchester City,19,9,10,71,41,66
15/16,All,5,Manchester United,19,9,10,49,35,66
15/16,All,6,Southampton,18,9,11,59,41,63
15/16,All,7,West Ham United,16,14,8,65,51,62
15/16,All,8,Liverpool,16,12,10,63,50,60
15/16,All,9,Stoke City,14,9,15,41,55,51
15/16,All,10,Chelsea,12,14,12,59,53,50
15/16,All,11,Everton,11,14,13,59,55,47
15/16,All,12,Swansea City,12,11,15,42,52,47
15/16,All,13,Watford,12,9,17,40,50,45
15/16,All,14,West Bromwich Albion,10,13,15,34,48,43
15/16,All,15,Crystal Palace,11,9,18,39,51,42
15/16,All,16,Bournemouth,11,9,18,45,67,42
15/16,All,17,Sunderland,9,12,17,48,62,39
15/16,All,18,Newcastle United,9,10,19,44,65,37
15/16,All,19,Norwich City,9,7,22,39,67,34
15/16,All,20,Aston Villa,3,8,27,27,76,17
