Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
10/11,All,1,Manchester United,23,11,4,78,37,80
10/11,All,2,Chelsea,21,8,9,69,33,71
10/11,All,3,Manchester City,21,8,9,60,33,71
10/11,All,4,Arsenal,19,11,8,72,43,68
10/11,All,5,Tottenham Hotspur,16,14,8,55,46,62
10/11,All,6,Liverpool,17,7,14,59,44,58
10/11,All,7,Everton,13,15,10,51,45,54
10/11,All,8,Fulham,11,16,11,49,43,49
10/11,All,9,Aston Villa,12,12,14,48,59,48
10/11,All,10,Sunderland,12,11,15,45,56,47
10/11,All,11,West Bromwich Albion,12,11,15,56,71,47
10/11,All,12,Newcastle United,11,13,14,56,57,46
10/11,All,13,Stoke City,13,7,18,46,48,46
10/11,All,14,Bolton Wanderers,12,10,16,52,56,46
10/11,All,15,Blackburn Rovers,11,10,17,46,59,43
10/11,All,16,Wigan Athletic,9,15,14,40,61,42
10/11,All,17,Wolverhampton Wanderers,11,7,20,46,66,40
10/11,All,18,Birmingham City,8,15,15,37,58,39
10/11,All,19,Blackpool,10,9,19,55,78,39
10/11,All,20,West Ham United,7,12,19,43,70,33
