Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
92/93,All,1,Manchester United,24,12,6,67,31,84
92/93,All,2,Aston Villa,21,11,10,57,40,74
92/93,All,3,Norwich City,21,9,12,61,65,72
92/93,All,4,Blackburn Rovers,20,11,11,68,46,71
92/93,All,5,Queens Park Rangers,17,12,13,63,55,63
92/93,All,6,Liverpool,16,11,15,62,55,59
92/93,All,7,Sheffield Wednesday,15,14,13,55,51,59
92/93,All,8,Tottenham Hotspur,16,11,15,60,66,59
92/93,All,9,Manchester City,15,12,15,56,51,57
92/93,All,10,Arsenal,15,11,16,40,38,56
92/93,All,11,Chelsea,14,14,14,51,54,56
92/93,All,12,Wimbledon,14,12,16,56,55,54
92/93,All,13,Everton,15,8,19,53,55,53
92/93,All,14,Sheffield United,14,10,18,54,53,52
92/93,All,15,Coventry City,13,13,16,52,57,52
92/93,All,16,Ipswich Town,12,16,14,50,55,52
92/93,All,17,Leeds United,12,15,15,57,62,51
92/93,All,18,Southampton,13,11,18,54,61,50
92/93,All,19,Oldham Athletic,13,10,19,63,74,49
92/93,All,20,Crystal Palace,11,16,15,48,61,49
92/93,All,21,Middlesbrough,11,11,20,54,75,44
92/93,All,22,Nottingham Forest,10,10,22,41,62,40
