Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
14/15,Home,1,Chelsea,15,4,0,36,9,49
14/15,Home,2,Manchester City,14,3,2,44,14,45
14/15,Home,3,Manchester United,14,2,3,41,15,44
14/15,Home,4,Arsenal,12,5,2,41,14,41
14/15,Home,5,Southampton,11,4,4,37,13,37
14/15,Home,6,Liverpool,10,5,4,30,20,35
14/15,Home,7,Stoke City,10,3,6,32,22,33
14/15,Home,8,Tottenham Hotspur,10,3,6,31,24,33
14/15,Home,9,Swansea City,9,5,5,27,22,32
14/15,Home,10,West Ham United,9,4,6,25,18,31
14/15,Home,11,Everton,7,7,5,27,21,28
14/15,Home,12,Leicester City,7,5,7,28,22,26
14/15,Home,13,Newcastle United,7,5,7,26,27,26
14/15,Home,14,West Bromwich Albion,7,4,8,24,26,25
14/15,Home,15,Queens Park Rangers,6,5,8,23,24,23
14/15,Home,16,Crystal Palace,6,3,10,21,27,21
14/15,Home,17,Aston Villa,5,6,8,18,25,21
14/15,Home,18,Hull City,5,5,9,19,24,20
14/15,Home,19,Sunderland,4,8,7,16,27,20
14/15,Home,20,Burnley,4,7,8,14,21,19
