Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
09/10,All,1,Chelsea,27,5,6,103,32,86
09/10,All,2,Manchester United,27,4,7,86,28,85
09/10,All,3,Arsenal,23,6,9,83,41,75
09/10,All,4,Tottenham Hotspur,21,7,10,67,41,70
09/10,All,5,Manchester City,18,13,7,73,45,67
09/10,All,6,Aston Villa,17,13,8,52,39,64
09/10,All,7,Liverpool,18,9,11,61,35,63
09/10,All,8,Everton,16,13,9,60,49,61
09/10,All,9,Birmingham City,13,11,14,38,47,50
09/10,All,10,Blackburn Rovers,13,11,14,41,55,50
09/10,All,11,Stoke City,11,14,13,34,48,47
09/10,All,12,Fulham,12,10,16,39,46,46
09/10,All,13,Sunderland,11,11,16,48,56,44
09/10,All,14,Bolton Wanderers,10,9,19,42,67,39
09/10,All,15,Wolverhampton Wanderers,9,11,18,32,56,38
09/10,All,16,Wigan Athletic,9,9,20,37,79,36
09/10,All,17,West Ham United,8,11,19,47,66,35
09/10,All,18,Burnley,8,6,24,42,82,30
09/10,All,19,Hull City,6,12,20,34,75,30
09/10,All,20,Portsmouth,7,7,24,34,66,19
