Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
07/08,All,1,Manchester United,27,6,5,80,22,87
07/08,All,2,Chelsea,25,10,3,65,26,85
07/08,All,3,Arsenal,24,11,3,74,31,83
07/08,All,4,Liverpool,21,13,4,67,28,76
07/08,All,5,Everton,19,8,11,55,33,65
07/08,All,6,Aston Villa,16,12,10,71,51,60
07/08,All,7,Blackburn Rovers,15,13,10,50,48,58
07/08,All,8,Portsmouth,16,9,13,48,40,57
07/08,All,9,Manchester City,15,10,13,45,53,55
07/08,All,10,West Ham United,13,10,15,42,50,49
07/08,All,11,Tottenham Hotspur,11,13,14,66,61,46
07/08,All,12,Newcastle United,11,10,17,45,65,43
07/08,All,13,Middlesbrough,10,12,16,43,53,42
07/08,All,14,Wigan Athletic,10,10,18,34,51,40
07/08,All,15,Sunderland,11,6,21,36,59,39
07/08,All,16,Bolton Wanderers,9,10,19,36,54,37
07/08,All,17,Fulham,8,12,18,38,60,36
07/08,All,18,Reading,10,6,22,41,66,36
07/08,All,19,Birmingham City,8,11,19,46,62,35
07/08,All,20,Derby County,1,8,29,20,89,11
