Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
98/99,Away,1,Manchester United,8,9,2,35,19,33
98/99,Away,2,Chelsea,8,9,2,28,17,33
98/99,Away,3,Arsenal,8,7,4,25,12,31
98/99,Away,4,Leeds United,6,8,5,30,25,26
98/99,Away,5,Aston Villa,5,7,7,18,18,22
98/99,Away,6,Leicester City,5,7,7,15,21,22
98/99,Away,7,Derby County,5,6,8,18,26,21
98/99,Away,8,Middlesbrough,5,6,8,23,36,21
98/99,Away,9,West Ham United,5,6,8,14,27,21
98/99,Away,10,Sheffield Wednesday,6,2,11,21,27,20
98/99,Away,11,Liverpool,5,4,10,24,25,19
98/99,Away,12,Tottenham Hotspur,4,7,8,19,24,19
98/99,Away,13,Newcastle United,4,7,8,22,29,19
98/99,Away,14,Everton,5,2,12,20,35,17
98/99,Away,15,Charlton Athletic,4,5,10,21,36,17
98/99,Away,16,Nottingham Forest,4,2,13,17,38,14
98/99,Away,17,Wimbledon,3,5,11,18,42,14
98/99,Away,18,Blackburn Rovers,1,9,9,17,28,12
98/99,Away,19,Coventry City,3,3,13,13,30,12
98/99,Away,20,Southampton,2,4,13,8,38,10
