Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
96/97,Home,1,Newcastle United,13,3,3,54,20,42
96/97,Home,2,Manchester United,12,5,2,38,17,41
96/97,Home,3,Aston Villa,11,5,3,27,13,38
96/97,Home,4,Liverpool,10,6,3,38,19,36
96/97,Home,5,Arsenal,10,5,4,36,18,35
96/97,Home,6,Chelsea,9,8,2,33,22,35
96/97,Home,7,Sheffield Wednesday,8,10,1,25,16,34
96/97,Home,8,Wimbledon,9,6,4,28,21,33
96/97,Home,9,Derby County,8,6,5,25,22,30
96/97,Home,10,Middlesbrough,8,5,6,34,25,29
96/97,Home,11,Blackburn Rovers,8,4,7,28,23,28
96/97,Home,12,Leeds United,7,7,5,15,13,28
96/97,Home,13,Tottenham Hotspur,8,4,7,19,17,28
96/97,Home,14,West Ham United,7,6,6,27,25,27
96/97,Home,15,Sunderland,7,6,6,20,18,27
96/97,Home,16,Leicester City,7,5,7,22,26,26
96/97,Home,17,Southampton,6,7,6,32,24,25
96/97,Home,18,Everton,7,4,8,24,22,25
96/97,Home,19,Coventry City,4,8,7,19,23,20
96/97,Home,20,Nottingham Forest,3,9,7,15,27,18
