Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
17/18,Home,1,Manchester City,16,2,1,61,14,50
17/18,Home,2,Arsenal,15,2,2,54,20,47
17/18,Home,3,Manchester United,15,2,2,38,9,47
17/18,Home,4,Liverpool,12,7,0,45,10,43
17/18,Home,5,Tottenham Hotspur,13,4,2,40,16,43
17/18,Home,6,Chelsea,11,4,4,30,16,37
17/18,Home,7,Everton,10,4,5,28,22,34
17/18,Home,8,Brighton & Hove Albion,7,8,4,24,25,29
17/18,Home,9,Newcastle United,8,4,7,21,17,28
17/18,Home,10,Leicester City,7,6,6,25,22,27
17/18,Home,11,West Ham United,7,6,6,24,26,27
17/18,Home,12,Watford,7,6,6,27,31,27
17/18,Home,13,Crystal Palace,7,5,7,29,27,26
17/18,Home,14,Burnley,7,5,7,16,17,26
17/18,Home,15,Bournemouth,7,5,7,26,30,26
17/18,Home,16,Huddersfield Town,6,5,8,16,25,23
17/18,Home,17,Swansea City,6,3,10,17,24,21
17/18,Home,18,Stoke City,5,5,9,20,30,20
17/18,Home,19,Southampton,4,7,8,20,26,19
17/18,Home,20,West Bromwich Albion,3,9,7,21,29,18
