Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
19/20,Home,1,Liverpool,18,1,0,52,16,55
19/20,Home,2,Manchester City,15,2,2,57,13,47
19/20,Home,3,Tottenham Hotspur,12,3,4,36,17,39
19/20,Home,4,Manchester United,10,7,2,40,17,37
19/20,Home,5,Leicester City,11,4,4,35,17,37
19/20,Home,6,Chelsea,11,3,5,30,16,36
19/20,Home,7,Arsenal,10,6,3,36,24,36
19/20,Home,8,Sheffield United,10,3,6,24,15,33
19/20,Home,9,Wolverhampton Wanderers,8,7,4,27,19,31
19/20,Home,10,Everton,8,7,4,24,21,31
19/20,Home,11,Burnley,8,4,7,24,23,28
19/20,Home,12,Newcastle United,6,8,5,20,21,26
19/20,Home,13,Watford,6,6,7,22,27,24
19/20,Home,14,Aston Villa,7,3,9,22,30,24
19/20,Home,15,Crystal Palace,6,5,8,15,20,23
19/20,Home,16,West Ham United,6,4,9,30,33,22
19/20,Home,17,Brighton & Hove Albion,5,7,7,20,27,22
19/20,Home,18,Bournemouth,5,6,8,22,30,21
19/20,Home,19,Southampton,6,3,10,21,35,21
19/20,Home,20,Norwich City,4,3,12,19,37,15
