Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
93/94,Away,1,Manchester United,13,5,3,41,25,44
93/94,Away,2,Blackburn Rovers,11,4,6,32,25,37
93/94,Away,3,Arsenal,8,9,4,28,13,33
93/94,Away,4,Norwich City,8,8,5,39,32,32
93/94,Away,5,Newcastle United,9,4,8,31,27,31
93/94,Away,6,Queens Park Rangers,8,5,8,30,32,29
93/94,Away,7,Aston Villa,7,7,7,23,32,28
93/94,Away,8,Sheffield Wednesday,6,9,6,28,30,27
93/94,Away,9,West Ham United,7,6,8,21,27,27
93/94,Away,10,Leeds United,5,10,6,28,21,25
93/94,Away,11,Tottenham Hotspur,7,4,10,25,26,25
93/94,Away,12,Wimbledon,6,6,9,21,32,24
93/94,Away,13,Coventry City,5,7,9,20,28,22
93/94,Away,14,Liverpool,5,5,11,26,32,20
93/94,Away,15,Ipswich Town,4,8,9,14,26,20
93/94,Away,16,Manchester City,3,8,10,14,27,17
93/94,Away,17,Oldham Athletic,4,5,12,18,35,17
93/94,Away,18,Everton,4,4,13,16,33,16
93/94,Away,19,Southampton,3,5,13,19,35,14
93/94,Away,20,Sheffield United,2,8,11,18,37,14
93/94,Away,21,Chelsea,2,7,12,18,33,13
93/94,Away,22,Swindon Town,1,8,12,22,55,11
