Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
93/94,Home,1,Manchester United,14,6,1,39,13,48
93/94,Home,2,Blackburn Rovers,14,5,2,31,11,47
93/94,Home,3,Newcastle United,14,4,3,51,14,46
93/94,Home,4,Leeds United,13,6,2,37,18,45
93/94,Home,5,Wimbledon,12,5,4,35,21,41
93/94,Home,6,Liverpool,12,4,5,33,23,40
93/94,Home,7,Chelsea,11,5,5,31,20,38
93/94,Home,8,Arsenal,10,8,3,25,15,38
93/94,Home,9,Sheffield Wednesday,10,7,4,48,24,37
93/94,Home,10,Coventry City,9,7,5,23,17,34
93/94,Home,11,Queens Park Rangers,8,7,6,32,29,31
93/94,Home,12,Aston Villa,8,5,8,23,18,29
93/94,Home,13,Southampton,9,2,10,30,31,29
93/94,Home,14,Manchester City,6,10,5,24,22,28
93/94,Home,15,Sheffield United,6,10,5,24,23,28
93/94,Home,16,Everton,8,4,9,26,30,28
93/94,Home,17,West Ham United,6,7,8,26,31,25
93/94,Home,18,Oldham Athletic,5,8,8,24,33,23
93/94,Home,19,Ipswich Town,5,8,8,21,32,23
93/94,Home,20,Norwich City,4,9,8,26,29,21
93/94,Home,21,Tottenham Hotspur,4,8,9,29,33,20
93/94,Home,22,Swindon Town,4,7,10,25,45,19
