Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
00/01,Away,1,Manchester United,9,6,4,30,19,33
00/01,Away,2,Leeds United,9,5,5,28,22,32
00/01,Away,3,Ipswich Town,9,1,9,26,27,28
00/01,Away,4,Liverpool,7,5,7,31,25,26
00/01,Away,5,Middlesbrough,5,8,6,26,21,23
00/01,Away,6,Sunderland,6,5,8,22,25,23
00/01,Away,7,Aston Villa,5,7,7,19,23,22
00/01,Away,8,Arsenal,5,7,7,18,25,22
00/01,Away,9,Chelsea,4,7,8,24,25,19
00/01,Away,10,Manchester City,4,7,8,21,34,19
00/01,Away,11,West Ham United,4,6,9,21,30,18
00/01,Away,12,Southampton,3,8,8,13,26,17
00/01,Away,13,Newcastle United,4,5,10,18,33,17
00/01,Away,14,Everton,5,1,13,16,32,16
00/01,Away,15,Coventry City,4,3,12,22,40,15
00/01,Away,16,Leicester City,4,2,13,11,28,14
00/01,Away,17,Charlton Athletic,3,5,11,19,38,14
00/01,Away,18,Derby County,2,5,12,14,35,11
00/01,Away,19,Tottenham Hotspur,2,4,13,16,38,10
00/01,Away,20,Bradford City,1,4,14,10,41,7
