Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
97/98,All,1,Arsenal,23,9,6,68,33,78
97/98,All,2,Manchester United,23,8,7,73,26,77
97/98,All,3,Liverpool,18,11,9,68,42,65
97/98,All,4,Chelsea,20,3,15,71,43,63
97/98,All,5,Leeds United,17,8,13,57,46,59
97/98,All,6,Blackburn Rovers,16,10,12,57,52,58
97/98,All,7,Aston Villa,17,6,15,49,48,57
97/98,All,8,West Ham United,16,8,14,56,57,56
97/98,All,9,Derby County,16,7,15,52,49,55
97/98,All,10,Leicester City,13,14,11,51,41,53
97/98,All,11,Coventry City,12,16,10,46,44,52
97/98,All,12,Southampton,14,6,18,50,55,48
97/98,All,13,Newcastle United,11,11,16,35,44,44
97/98,All,14,Tottenham Hotspur,11,11,16,44,56,44
97/98,All,15,Wimbledon,10,14,14,34,46,44
97/98,All,16,Sheffield Wednesday,12,8,18,52,67,44
97/98,All,17,Everton,9,13,16,41,56,40
97/98,All,18,Bolton Wanderers,9,13,16,41,61,40
97/98,All,19,Barnsley,10,5,23,37,82,35
97/98,All,20,Crystal Palace,8,9,21,37,71,33
