Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
06/07,Away,1,Manchester United,13,3,3,37,15,42
06/07,Away,2,Chelsea,12,4,3,27,13,40
06/07,Away,3,Arsenal,7,5,7,20,19,26
06/07,Away,4,Bolton Wanderers,7,3,9,21,32,24
06/07,Away,5,Liverpool,6,4,9,18,20,22
06/07,Away,6,Blackburn Rovers,6,4,9,21,29,22
06/07,Away,7,Everton,4,9,6,19,19,21
06/07,Away,8,Aston Villa,4,9,6,23,27,21
06/07,Away,9,Tottenham Hotspur,5,6,8,23,32,21
06/07,Away,10,Manchester City,6,3,10,19,28,21
06/07,Away,11,Reading,5,5,9,23,27,20
06/07,Away,12,Wigan Athletic,5,4,10,19,29,19
06/07,Away,13,Portsmouth,3,7,9,17,27,16
06/07,Away,14,Newcastle United,4,3,12,15,27,15
06/07,Away,15,West Ham United,4,3,12,11,33,15
06/07,Away,16,Middlesbrough,2,7,10,13,25,13
06/07,Away,17,Fulham,1,8,10,20,42,11
06/07,Away,18,Sheffield United,3,2,14,8,34,11
06/07,Away,19,Watford,2,4,13,10,34,10
06/07,Away,20,Charlton Athletic,1,5,13,15,40,8
