Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
13/14,Away,1,Liverpool,10,5,4,48,32,35
13/14,Away,2,Arsenal,11,2,6,32,30,35
13/14,Away,3,Manchester City,10,4,5,39,24,34
13/14,Away,4,Manchester United,10,4,5,35,22,34
13/14,Away,5,Chelsea,10,4,5,28,16,34
13/14,Away,6,Tottenham Hotspur,10,3,6,25,28,33
13/14,Away,7,Everton,8,6,5,23,20,30
13/14,Away,8,Southampton,7,5,7,22,23,26
13/14,Away,9,Newcastle United,7,1,11,20,31,22
13/14,Away,10,Sunderland,5,5,9,20,33,20
13/14,Away,11,Swansea City,5,4,10,21,28,19
13/14,Away,12,Crystal Palace,5,3,11,15,25,18
13/14,Away,13,Aston Villa,4,5,10,17,32,17
13/14,Away,14,West Ham United,4,4,11,15,25,16
13/14,Away,15,West Bromwich Albion,3,6,10,19,32,15
13/14,Away,16,Stoke City,3,5,11,18,35,14
13/14,Away,17,Fulham,4,2,13,16,47,14
13/14,Away,18,Hull City,3,3,13,18,32,12
13/14,Away,19,Cardiff City,2,4,13,12,39,10
13/14,Away,20,Norwich City,2,3,14,11,44,9
