Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
94/95,Away,1,Manchester United,10,6,5,35,24,36
94/95,Away,2,Blackburn Rovers,10,6,5,26,18,36
94/95,Away,3,Nottingham Forest,10,5,6,36,25,35
94/95,Away,4,Liverpool,8,6,7,27,24,30
94/95,Away,5,Leeds United,7,8,6,24,23,29
94/95,Away,6,Tottenham Hotspur,6,9,6,34,33,27
94/95,Away,7,Chelsea,6,8,7,25,33,26
94/95,Away,8,Arsenal,7,3,11,25,28,24
94/95,Away,9,Newcastle United,6,6,9,21,27,24
94/95,Away,10,Queens Park Rangers,6,6,9,25,33,24
94/95,Away,11,Wimbledon,6,6,9,22,39,24
94/95,Away,12,Sheffield Wednesday,6,5,10,23,31,23
94/95,Away,13,Coventry City,5,7,9,21,37,22
94/95,Away,14,Southampton,4,9,8,28,36,21
94/95,Away,15,Aston Villa,5,6,10,24,32,21
94/95,Away,16,Crystal Palace,5,6,10,18,26,21
94/95,Away,17,Manchester City,4,6,11,16,36,18
94/95,Away,18,West Ham United,4,5,12,16,29,17
94/95,Away,19,Everton,3,8,10,13,28,17
94/95,Away,20,Norwich City,2,5,14,10,33,11
94/95,Away,21,Ipswich Town,2,3,16,12,59,9
94/95,Away,22,Leicester City,1,5,15,17,43,8
