Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
96/97,All,1,Manchester United,21,12,5,76,44,75
96/97,All,2,Newcastle United,19,11,8,73,40,68
96/97,All,3,Arsenal,19,11,8,62,32,68
96/97,All,4,Liverpool,19,11,8,62,37,68
96/97,All,5,Aston Villa,17,10,11,47,34,61
96/97,All,6,Chelsea,16,11,11,58,55,59
96/97,All,7,Sheffield Wednesday,14,15,9,50,51,57
96/97,All,8,Wimbledon,15,11,12,49,46,56
96/97,All,9,Leicester City,12,11,15,46,54,47
96/97,All,10,Tottenham Hotspur,13,7,18,44,51,46
96/97,All,11,Leeds United,11,13,14,28,38,46
96/97,All,12,Derby County,11,13,14,45,58,46
96/97,All,13,Blackburn Rovers,9,15,14,42,43,42
96/97,All,14,West Ham United,10,12,16,39,48,42
96/97,All,15,Everton,10,12,16,44,57,42
96/97,All,16,Southampton,10,11,17,50,56,41
96/97,All,17,Coventry City,9,14,15,38,54,41
96/97,All,18,Sunderland,10,10,18,35,53,40
96/97,All,19,Middlesbrough,10,12,16,51,60,39
96/97,All,20,Nottingham Forest,6,16,16,31,59,34
