Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
05/06,Home,1,Chelsea,18,1,0,47,9,55
05/06,Home,2,Liverpool,15,3,1,32,8,48
05/06,Home,3,Arsenal,14,3,2,48,13,45
05/06,Home,4,Manchester United,13,5,1,37,8,44
05/06,Home,5,Blackburn Rovers,13,3,3,31,17,42
05/06,Home,6,Tottenham Hotspur,12,5,2,31,16,41
05/06,Home,7,Fulham,13,2,4,31,21,41
05/06,Home,8,Bolton Wanderers,11,5,3,29,13,38
05/06,Home,9,Newcastle United,11,5,3,28,15,38
05/06,Home,10,West Ham United,9,3,7,30,25,30
05/06,Home,11,Manchester City,9,2,8,26,20,29
05/06,Home,12,Charlton Athletic,8,4,7,22,21,28
05/06,Home,13,Everton,8,4,7,22,22,28
05/06,Home,14,Middlesbrough,7,5,7,28,30,26
05/06,Home,15,Aston Villa,6,6,7,20,20,24
05/06,Home,16,Wigan Athletic,7,3,9,24,26,24
05/06,Home,17,Birmingham City,6,5,8,19,20,23
05/06,Home,18,Portsmouth,5,7,7,17,24,22
05/06,Home,19,West Bromwich Albion,6,2,11,21,24,20
05/06,Home,20,Sunderland,1,4,14,12,37,7
