Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
92/93,Away,1,Manchester United,10,7,4,28,17,37
92/93,Away,2,Aston Villa,8,6,7,21,24,30
92/93,Away,3,Blackburn Rovers,7,7,7,30,28,28
92/93,Away,4,Manchester City,8,4,9,26,26,28
92/93,Away,5,Coventry City,6,9,6,23,29,27
92/93,Away,6,Norwich City,8,3,10,30,46,27
92/93,Away,7,Everton,8,2,11,27,28,26
92/93,Away,8,Arsenal,7,5,9,15,18,26
92/93,Away,9,Queens Park Rangers,6,7,8,22,23,25
92/93,Away,10,Sheffield Wednesday,6,6,9,21,25,24
92/93,Away,11,Wimbledon,5,8,8,24,32,23
92/93,Away,12,Chelsea,5,7,9,22,32,22
92/93,Away,13,Crystal Palace,5,7,9,21,36,22
92/93,Away,14,Tottenham Hotspur,5,6,10,20,41,21
92/93,Away,15,Ipswich Town,4,7,10,21,33,19
92/93,Away,16,Nottingham Forest,4,6,11,24,37,18
92/93,Away,17,Sheffield United,4,4,13,21,34,16
92/93,Away,18,Liverpool,3,7,11,21,37,16
92/93,Away,19,Middlesbrough,3,6,12,21,48,15
92/93,Away,20,Southampton,3,5,13,24,40,14
92/93,Away,21,Oldham Athletic,3,4,14,20,44,13
92/93,Away,22,Leeds United,0,7,14,17,45,7
