Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
07/08,Home,1,Manchester United,17,1,1,47,7,52
07/08,Home,2,Arsenal,14,5,0,37,11,47
07/08,Home,3,Chelsea,12,7,0,36,13,43
07/08,Home,4,Liverpool,12,6,1,43,13,42
07/08,Home,5,Everton,11,4,4,34,17,37
07/08,Home,6,Manchester City,11,4,4,28,20,37
07/08,Home,7,Aston Villa,10,3,6,34,22,33
07/08,Home,8,Blackburn Rovers,8,7,4,26,19,31
07/08,Home,9,Sunderland,9,3,7,23,21,30
07/08,Home,10,Tottenham Hotspur,8,5,6,46,34,29
07/08,Home,11,Portsmouth,7,8,4,24,14,29
07/08,Home,12,Wigan Athletic,8,5,6,21,17,29
07/08,Home,13,Newcastle United,8,5,6,25,26,29
07/08,Home,14,West Ham United,7,7,5,24,24,28
07/08,Home,15,Birmingham City,6,8,5,30,23,26
07/08,Home,16,Bolton Wanderers,7,5,7,23,18,26
07/08,Home,17,Middlesbrough,7,5,7,27,23,26
07/08,Home,18,Reading,8,2,9,19,25,26
07/08,Home,19,Fulham,5,5,9,22,31,20
07/08,Home,20,Derby County,1,5,13,12,43,8
