Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
00/01,All,1,Manchester United,24,8,6,79,31,80
00/01,All,2,Arsenal,20,10,8,63,38,70
00/01,All,3,Liverpool,20,9,9,71,39,69
00/01,All,4,Leeds United,20,8,10,64,43,68
00/01,All,5,Ipswich Town,20,6,12,57,42,66
00/01,All,6,Chelsea,17,10,11,68,45,61
00/01,All,7,Sunderland,15,12,11,46,41,57
00/01,All,8,Aston Villa,13,15,10,46,43,54
00/01,All,9,Charlton Athletic,14,10,14,50,57,52
00/01,All,10,Southampton,14,10,14,40,48,52
00/01,All,11,Newcastle United,14,9,15,44,50,51
00/01,All,12,Tottenham Hotspur,13,10,15,47,54,49
00/01,All,13,Leicester City,14,6,18,39,51,48
00/01,All,14,Middlesbrough,9,15,14,44,44,42
00/01,All,15,West Ham United,10,12,16,45,50,42
00/01,All,16,Everton,11,9,18,45,59,42
00/01,All,17,Derby County,10,12,16,37,59,42
00/01,All,18,Manchester City,8,10,20,41,65,34
00/01,All,19,Coventry City,8,10,20,36,63,34
00/01,All,20,Bradford City,5,11,22,30,70,26
