Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
19/20,All,1,Liverpool,32,3,3,85,33,99
19/20,All,2,Manchester City,26,3,9,102,35,81
19/20,All,3,Manchester United,18,12,8,66,36,66
19/20,All,4,Chelsea,20,6,12,69,54,66
19/20,All,5,Leicester City,18,8,12,67,41,62
19/20,All,6,Tottenham Hotspur,16,11,11,61,47,59
19/20,All,7,Wolverhampton Wanderers,15,14,9,51,40,59
19/20,All,8,Arsenal,14,14,10,56,48,56
19/20,All,9,Sheffield United,14,12,12,39,39,54
19/20,All,10,Burnley,15,9,14,43,50,54
19/20,All,11,Southampton,15,7,16,51,60,52
19/20,All,12,Everton,13,10,15,44,56,49
19/20,All,13,Newcastle United,11,11,16,38,58,44
19/20,All,14,Crystal Palace,11,10,17,31,50,43
19/20,All,15,Brighton & Hove Albion,9,14,15,39,54,41
19/20,All,16,West Ham United,10,9,19,49,62,39
19/20,All,17,Aston Villa,9,8,21,41,67,35
19/20,All,18,Bournemouth,9,7,22,40,65,34
19/20,All,19,Watford,8,10,20,36,64,34
19/20,All,20,Norwich City,5,6,27,26,75,21
