Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
99/00,Away,1,Manchester United,13,3,3,38,29,42
99/00,Away,2,Leeds United,9,4,6,29,25,31
99/00,Away,3,Liverpool,8,6,5,23,17,30
99/00,Away,4,Arsenal,8,4,7,31,26,28
99/00,Away,5,Aston Villa,7,5,7,23,23,26
99/00,Away,6,Chelsea,6,6,7,18,22,24
99/00,Away,7,Middlesbrough,6,5,8,23,26,23
99/00,Away,8,Leicester City,6,4,9,24,31,22
99/00,Away,9,Sunderland,6,4,9,29,39,22
99/00,Away,10,Everton,5,5,9,23,28,20
99/00,Away,11,Tottenham Hotspur,5,5,9,17,23,20
99/00,Away,12,West Ham United,4,5,10,20,30,17
99/00,Away,13,Derby County,3,8,8,22,32,17
99/00,Away,14,Newcastle United,4,5,10,21,34,17
99/00,Away,15,Southampton,4,4,11,19,40,16
99/00,Away,16,Bradford City,3,1,15,12,39,10
99/00,Away,17,Sheffield Wednesday,2,4,13,17,47,10
99/00,Away,18,Wimbledon,1,5,13,16,46,8
99/00,Away,19,Coventry City,0,7,12,9,32,7
99/00,Away,20,Watford,1,2,16,11,46,5
