Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
13/14,Home,1,Manchester City,17,1,1,63,13,52
13/14,Home,2,Liverpool,16,1,2,53,18,49
13/14,Home,3,Chelsea,15,3,1,43,11,48
13/14,Home,4,Arsenal,13,5,1,36,11,44
13/14,Home,5,Everton,13,3,3,38,19,42
13/14,Home,6,Stoke City,10,6,3,27,17,36
13/14,Home,7,Tottenham Hotspur,11,3,5,30,23,36
13/14,Home,8,Southampton,8,6,5,32,23,30
13/14,Home,9,Manchester United,9,3,7,29,21,30
13/14,Home,10,Newcastle United,8,3,8,23,28,27
13/14,Home,11,Crystal Palace,8,3,8,18,23,27
13/14,Home,12,Hull City,7,4,8,20,21,25
13/14,Home,13,West Ham United,7,3,9,25,26,24
13/14,Home,14,Norwich City,6,6,7,17,18,24
13/14,Home,15,Swansea City,6,5,8,33,26,23
13/14,Home,16,West Bromwich Albion,4,9,6,24,27,21
13/14,Home,17,Aston Villa,6,3,10,22,29,21
13/14,Home,18,Cardiff City,5,5,9,20,35,20
13/14,Home,19,Sunderland,5,3,11,21,27,18
13/14,Home,20,Fulham,5,3,11,24,38,18
