Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
15/16,Home,1,Leicester City,12,6,1,35,18,42
15/16,Home,2,Manchester United,12,5,2,27,9,41
15/16,Home,3,Arsenal,12,4,3,31,11,40
15/16,Home,4,Manchester City,12,2,5,47,21,38
15/16,Home,5,Tottenham Hotspur,10,6,3,35,15,36
15/16,Home,6,Southampton,11,3,5,39,22,36
15/16,Home,7,West Ham United,9,7,3,34,26,34
15/16,Home,8,Liverpool,8,8,3,33,22,32
15/16,Home,9,Swansea City,8,6,5,20,20,30
15/16,Home,10,Newcastle United,7,7,5,32,24,28
15/16,Home,11,Stoke City,8,4,7,22,24,28
15/16,Home,12,Sunderland,6,6,7,23,20,24
15/16,Home,13,Chelsea,5,9,5,32,30,24
15/16,Home,14,Watford,6,6,7,20,19,24
15/16,Home,15,Everton,6,5,8,35,30,23
15/16,Home,16,Norwich City,6,5,8,26,30,23
15/16,Home,17,West Bromwich Albion,6,5,8,20,26,23
15/16,Home,18,Crystal Palace,6,3,10,19,23,21
15/16,Home,19,Bournemouth,5,5,9,23,34,20
15/16,Home,20,Aston Villa,2,5,12,14,35,11
