Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
99/00,All,1,Manchester United,28,7,3,97,45,91
99/00,All,2,Arsenal,22,7,9,73,43,73
99/00,All,3,Leeds United,21,6,11,58,43,69
99/00,All,4,Liverpool,19,10,9,51,30,67
99/00,All,5,Chelsea,18,11,9,53,34,65
99/00,All,6,Aston Villa,15,13,10,46,35,58
99/00,All,7,Sunderland,16,10,12,57,56,58
99/00,All,8,Leicester City,16,7,15,55,55,55
99/00,All,9,West Ham United,15,10,13,52,53,55
99/00,All,10,Tottenham Hotspur,15,8,15,57,49,53
99/00,All,11,Newcastle United,14,10,14,63,54,52
99/00,All,12,Middlesbrough,14,10,14,46,52,52
99/00,All,13,Everton,12,14,12,59,49,50
99/00,All,14,Coventry City,12,8,18,47,54,44
99/00,All,15,Southampton,12,8,18,45,62,44
99/00,All,16,Derby County,9,11,18,44,57,38
99/00,All,17,Bradford City,9,9,20,38,68,36
99/00,All,18,Wimbledon,7,12,19,46,74,33
99/00,All,19,Sheffield Wednesday,8,7,23,38,70,31
99/00,All,20,Watford,6,6,26,35,77,24
