Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
10/11,Home,1,Manchester United,18,1,0,49,12,55
10/11,Home,2,Chelsea,14,3,2,39,13,45
10/11,Home,3,Manchester City,13,4,2,34,12,43
10/11,Home,4,Liverpool,12,4,3,37,14,40
10/11,Home,5,Arsenal,11,4,4,33,15,37
10/11,Home,6,Tottenham Hotspur,9,9,1,30,19,36
10/11,Home,7,Bolton Wanderers,10,5,4,34,24,35
10/11,Home,8,Stoke City,10,4,5,31,18,34
10/11,Home,9,Everton,9,7,3,31,23,34
10/11,Home,10,Fulham,8,7,4,30,23,31
10/11,Home,11,Aston Villa,8,7,4,26,19,31
10/11,Home,12,West Bromwich Albion,8,6,5,30,30,30
10/11,Home,13,Blackburn Rovers,7,7,5,22,16,28
10/11,Home,14,Wolverhampton Wanderers,8,4,7,30,30,28
10/11,Home,15,Newcastle United,6,8,5,41,27,26
10/11,Home,16,Sunderland,7,5,7,25,27,26
10/11,Home,17,Birmingham City,6,8,5,19,22,26
10/11,Home,18,Wigan Athletic,5,8,6,22,34,23
10/11,Home,19,Blackpool,5,5,9,30,37,20
10/11,Home,20,West Ham United,5,5,9,24,31,20
