Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
20/21,All,1,Manchester City,27,5,6,83,32,86
20/21,All,2,Manchester United,21,11,6,73,44,74
20/21,All,3,Liverpool,20,9,9,68,42,69
20/21,All,4,Chelsea,19,10,9,58,36,67
20/21,All,5,Leicester City,20,6,12,68,50,66
20/21,All,6,West Ham United,19,8,11,62,47,65
20/21,All,7,Tottenham Hotspur,18,8,12,68,45,62
20/21,All,8,Arsenal,18,7,13,55,39,61
20/21,All,9,Leeds United,18,5,15,62,54,59
20/21,All,10,Everton,17,8,13,47,48,59
20/21,All,11,Aston Villa,16,7,15,55,46,55
20/21,All,12,Newcastle United,12,9,17,46,62,45
20/21,All,13,Wolverhampton Wanderers,12,9,17,36,52,45
20/21,All,14,Crystal Palace,12,8,18,41,66,44
20/21,All,15,Southampton,12,7,19,47,68,43
20/21,All,16,Brighton & Hove Albion,9,14,15,40,46,41
20/21,All,17,Burnley,10,9,19,33,55,39
20/21,All,18,Fulham,5,13,20,27,53,28
20/21,All,19,West Bromwich Albion,5,11,22,35,76,26
20/21,All,20,Sheffield United,7,2,29,20,63,23
