Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
03/04,All,1,Arsenal,26,12,0,73,26,90
03/04,All,2,Chelsea,24,7,7,67,30,79
03/04,All,3,Manchester United,23,6,9,64,35,75
03/04,All,4,Liverpool,16,12,10,55,37,60
03/04,All,5,Newcastle United,13,17,8,52,40,56
03/04,All,6,Aston Villa,15,11,12,48,44,56
03/04,All,7,Charlton Athletic,14,11,13,51,51,53
03/04,All,8,Bolton Wanderers,14,11,13,48,56,53
03/04,All,9,Fulham,14,10,14,52,46,52
03/04,All,10,Birmingham City,12,14,12,43,48,50
03/04,All,11,Middlesbrough,13,9,16,44,52,48
03/04,All,12,Southampton,12,11,15,44,45,47
03/04,All,13,Portsmouth,12,9,17,47,54,45
03/04,All,14,Tottenham Hotspur,13,6,19,47,57,45
03/04,All,15,Blackburn Rovers,12,8,18,51,59,44
03/04,All,16,Manchester City,9,14,15,55,54,41
03/04,All,17,Everton,9,12,17,45,57,39
03/04,All,18,Leicester City,6,15,17,48,65,33
03/04,All,19,Leeds United,8,9,21,40,79,33
03/04,All,20,Wolverhampton Wanderers,7,12,19,38,77,33
