Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
06/07,All,1,Manchester United,28,5,5,83,27,89
06/07,All,2,Chelsea,24,11,3,64,24,83
06/07,All,3,Liverpool,20,8,10,57,27,68
06/07,All,4,Arsenal,19,11,8,63,35,68
06/07,All,5,Tottenham Hotspur,17,9,12,57,54,60
06/07,All,6,Everton,15,13,10,52,36,58
06/07,All,7,Bolton Wanderers,16,8,14,47,52,56
06/07,All,8,Reading,16,7,15,52,47,55
06/07,All,9,Portsmouth,14,12,12,45,42,54
06/07,All,10,Blackburn Rovers,15,7,16,52,54,52
06/07,All,11,Aston Villa,11,17,10,43,41,50
06/07,All,12,Middlesbrough,12,10,16,44,49,46
06/07,All,13,Newcastle United,11,10,17,38,47,43
06/07,All,14,Manchester City,11,9,18,29,44,42
06/07,All,15,West Ham United,12,5,21,35,59,41
06/07,All,16,Fulham,8,15,15,38,60,39
06/07,All,17,Wigan Athletic,10,8,20,37,59,38
06/07,All,18,Sheffield United,10,8,20,32,55,38
06/07,All,19,Charlton Athletic,8,10,20,34,60,34
06/07,All,20,Watford,5,13,20,29,59,28
