Season,Match,Pos,Team,Won,Drawn,Lost,GF,GA,Points
20/21,Away,1,Manchester City,14,3,2,40,15,45
20/21,Away,2,Manchester United,12,7,0,35,16,43
20/21,Away,3,Leicester City,11,5,3,34,20,38
20/21,Away,4,Everton,11,4,4,23,20,37
20/21,Away,5,Liverpool,10,6,3,39,22,36
20/21,Away,6,Chelsea,10,4,5,27,18,34
20/21,Away,7,Arsenal,10,3,6,31,18,33
20/21,Away,8,West Ham United,9,4,6,30,25,31
20/21,Away,9,Aston Villa,9,3,7,26,19,30
20/21,Away,10,Leeds United,10,0,9,34,33,30
20/21,Away,11,Tottenham Hotspur,8,5,6,33,25,29
20/21,Away,12,Newcastle United,6,4,9,20,29,22
20/21,Away,13,Burnley,6,3,10,19,28,21
20/21,Away,14,Crystal Palace,6,3,10,21,34,21
20/21,Away,15,Brighton & Hove Albion,5,5,9,18,24,20
20/21,Away,16,Wolverhampton Wanderers,5,5,9,15,27,20
20/21,Away,17,Fulham,3,9,7,18,25,18
20/21,Away,18,Southampton,4,4,11,19,43,16
20/21,Away,19,West Bromwich Albion,2,5,12,20,37,11
20/21,Away,20,Sheffield United,2,1,16,8,36,7
